no,song,song_kana_old,song_kana,author,author_kana
52,あけぬれば　暮（く）るるものとは　しりながら　なほ（お）うらめしき　朝ぼらけかな,あけぬれば　くるるものとは　しりながら　なおうらめしき　あさぼらけかな,あけぬれば　くるるものとは　しりながら　なほうらめしき　あさぼらけかな,藤原道信朝臣,ふじわらのみちのぶあそん
53,なげきつつ　ひとりぬる夜の　あくるまは　いかに久しき　ものとかはしる,なげきつつ　ひとりぬるよの　あくるまは　いかにひさしき　ものとかはしる,なげきつつ　ひとりぬるよの　あくるまは　いかにひさしき　ものとかはしる,右大将道綱母,うだいしょうみちつなのはは
54,忘れじの　ゆくすえまでは　かたければ　今日をかぎりの　いのちともがな,わすれじの　ゆくすえまでは　かたければ　きょうをかぎりの　いのちともがな,わすれじの　ゆくすゑまでは　かたければ　けふをかぎりの　いのちともがな,儀同三司母,ぎどうさんしのはは
55,滝（たき）の音は　たえて久しく　なりぬれど　名こそ流れて　なほ（お）聞（きこ）えけれ,たきのおとは　たえてひさしく　なりぬれど　なこそながれて　なおきこえけれ,たきのおとは　たえてひさしく　なりぬれど　なこそながれて　なほきこえけれ,大納言公任,だいなごんきんとう
56,あらざらむ（ん）　この世のほかの　思ひ（い）出に　いまひとたびの　あふ（う）こともがな,あらざらん　このよのほかの　おもいでに　いまひとたびの　あうこともがな,あらざらむ　このよのほかの　おもひでに　いまひとたびの　あふこともがな,和泉式部,いずみしきぶ
57,めぐりあひ（い）て　見しやそれとも　わかぬまに　雲がくれにし　夜半（よわ）の月かな,めぐりあいて　みしやそれとも　わかぬまに　くもがくれにし　よはのつきかな,めぐりあひて　みしやそれとも　わかぬまに　くもがくれにし　よはのつきかな,紫式部,むらさきしきぶ
58,ありま山　いなの笹原（ささはら）　風吹（ふ）けば　いでそよ人を　忘れやはする,ありまやま　いなのささはら　かぜふけば　いでそよひとを　わすれやはする,ありまやま　ゐなのささはら　かぜふけば　いでそよひとを　わすれやはする,大弐三位,だいにのさんみ
59,やすらは（わ）で　寝（ね）なましものを　さ夜（よ）ふけて　かたぶくまでの　月を見しかな,やすらわで　ねなましものを　さよふけて　かたぶくまでの　つきをみしかな,やすらはで　ねなましものを　さよふけて　かたぶくまでの　つきをみしかな,赤染衛門,あかぞめえもん
60,大江山（おおえやま）　いく野（の）の道の　遠ければ　まだふみも見ず　天（あま）の橋立（はしだて）,おおえやま　いくののみちの　とおければ　まだふみもみず　あまのはしだて,おほえやま　いくののみちの　とほければ　まだふみもみず　あまのはしだて,小式部内侍,こしきぶのないし
61,いにしへ（え）の　奈良（なら）の都の　八重桜（やえざくら）　けふ（きょう）九重（ここのえ）に　にほ（お）ひ（い）ぬるかな,いにしえの　ならのみやこの　やえざくら　きょうここのえに　においぬるかな,いにしへの　ならのみやこの　やへざくら　けふここのへに　にほひぬるかな,伊勢大輔,いせのたいふ
62,夜をこめて　鳥のそらねは　はかるとも　よに逢坂（おうさか）の　関はゆるさじ,よをこめて　とりのそらねは　はかるとも　よにおうさかの　せきはゆるさじ,よをこめて　とりのそらねは　はかるとも　よにあふさかの　せきはゆるさじ,清少納言,せいしょうなごん
63,いまはただ　思ひ（い）絶（た）えなむ（ん）　とばかりを　人づてならで　言ふ（う）よしもがな,いまはただ　おもいたえなん　とばかりを　ひとずてならで　いうよしもがな,いまはただ　おもひたえなむ　とばかりを　ひとづてならで　いふよしもがな,左京大夫道雅,さきょうのだいぶみちまさ
64,朝ぼらけ　宇治（うじ）の川霧（かわぎり）　たえだえに　あらは（わ）れわたる　瀬々（せぜ）の網代木（あじろぎ）,あさぼらけ　うじのかわぎり　たえだえに　あらわれわたる　せぜのあじろぎ,あさぼらけ　うぢのかはぎり　たえだえに　あらはれわたる　せぜのあじろぎ,権中納言定頼_,ごんちゅうなごんさだより
65,うらみわび　ほさぬ袖（そで）だに　あるもの　を恋（こい）にくちなむ（ん）　名こそを（お）しけれ,うらみわび　ほさぬそでだに　あるものを　こいにくちなん　なこそおしけれ,うらみわび　ほさぬそでだに　あるものを　こひにくちなむ　なこそをしけれ,相模,さがみ
66,もろともに　あは（わ）れと思へ（え）　山桜（やまざくら）　花よりほかに　しる人もなし,もろともに　あわれとおもえ　やまざくら　はなよりほかに　しるひともなし,もろともに　あはれとおもへ　やまざくら　はなよりほかに　しるひともなし,前大僧正行尊,さきのだいそうじょうぎょうそん
67,春の夜の　夢（ゆめ）ばかりなる　手枕（たまくら）に　かひ（い）なくたたむ（ん）　名こそを（お）しけれ,はるのよの　ゆめばかりなる　たまくらに　かいなくたたん　なこそおしけれ,はるのよの　ゆめばかりなる　たまくらに　かひなくたたむ　なこそをしけれ,周防内侍,すおうのないし
68,心にも　あらでうき世に　ながらへ（え）ば　恋しかるべき　夜半（よわ）の月かな,こころにも　あらでうきよに　ながらえば　こいしかるべき　よわのつきかな,こころにも　あらでうきよに　ながらへば　こひしかるべき　よはのつきかな,三条院,さんじょういん
69,あらし吹（ふ）く　み室（むろ）の山のもみぢ（じ）ばは　竜田（たつた）の川の　錦（にしき）なりけり,あらしふく　みむろのやまの　もみじばは　たつたのかわの　にしきなりけり,あらしふく　みむろのやまの　もみぢばは　たつたのかはの　にしきなりけり,能因法師,のういんほうし
70,さびしさに　宿を立ち出（い）でて　ながむれば　いづ（ず）くもおなじ　秋の夕ぐれ,さびしさに　やどをたちいでて　ながむれば　いずこもおなじ　あきのゆうぐれ,さびしさに　やどをたちいでて　ながむれば　いづこもおなじ　あきのゆふぐれ,良選法師,りょうぜんほうし
